"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 06, 2018","41,266.39","41,609.97","41,715.01","41,223.56","97.34K","-0.85%"
"Sep 05, 2018","41,620.96","41,766.77","41,805.34","41,495.41","70.46K","-0.32%"
"Sep 04, 2018","41,753.89","41,594.98","41,790.77","41,555.96","65.13K","0.41%"
"Sep 03, 2018","41,581.96","41,731.76","41,736.28","41,192.04","80.84K","-0.38%"
"Aug 31, 2018","41,742.24","41,888.23","42,006.03","41,626.70","88.50K","-0.29%"
"Aug 30, 2018","41,863.52","42,261.44","42,273.52","41,659.26","85.93K","-0.91%"
"Aug 29, 2018","42,249.44","42,564.34","42,628.34","42,157.63","58.72K","-0.69%"
"Aug 28, 2018","42,544.47","42,730.05","42,843.36","42,516.35","75.61K","-0.47%"
"Aug 27, 2018","42,745.78","42,618.01","42,871.15","42,618.01","106.93K","0.37%"
"Aug 24, 2018","42,588.29","42,445.43","42,618.16","42,280.54","49.17K","0.38%"
"Aug 20, 2018","42,425.10","42,610.88","42,701.54","42,309.05","71.27K","-0.05%"
"Aug 17, 2018","42,446.62","42,006.53","42,552.84","41,991.98","111.78K","1.16%"
"Aug 16, 2018","41,960.80","42,422.98","42,483.11","41,750.54","83.62K","-1.14%"
"Aug 15, 2018","42,446.56","42,764.95","42,852.57","42,368.48","74.88K","-0.45%"
"Aug 13, 2018","42,637.58","42,813.29","42,857.58","42,594.14","87.29K","-0.48%"
"Aug 10, 2018","42,842.18","42,957.10","43,115.52","42,798.88","137.71K","-0.19%"
"Aug 09, 2018","42,923.95","42,760.66","42,960.94","42,696.35","107.40K","0.45%"
"Aug 08, 2018","42,731.86","42,784.80","42,857.12","42,639.24","92.95K","-0.07%"
"Aug 07, 2018","42,760.13","42,838.30","42,993.18","42,705.04","129.18K","-0.11%"
"Aug 06, 2018","42,808.66","42,564.41","42,854.32","42,453.88","76.54K","0.71%"
"Aug 03, 2018","42,505.05","42,233.74","42,553.37","42,097.07","114.14K","0.41%"
"Aug 02, 2018","42,330.32","42,936.70","42,976.17","42,286.20","170.12K","-1.12%"
"Aug 01, 2018","42,810.04","42,742.89","42,940.53","42,527.44","123.66K","0.23%"
"Jul 31, 2018","42,712.43","43,638.77","43,638.86","42,603.43","158.01K","-1.94%"
"Jul 30, 2018","43,556.63","43,045.59","43,605.04","43,045.59","176.41K","1.80%"
"Jul 27, 2018","42,786.45","42,089.56","42,845.49","42,014.05","187.53K","1.66%"
"Jul 26, 2018","42,089.16","42,106.57","42,136.06","41,696.26","129.86K","1.81%"
"Jul 24, 2018","41,339.22","40,494.45","41,461.83","40,487.07","107.58K","2.16%"
"Jul 23, 2018","40,463.98","41,217.85","41,219.17","40,418.18","61.17K","-1.84%"
"Jul 20, 2018","41,221.75","41,810.96","41,810.96","41,157.45","116.45K","-1.37%"
"Jul 19, 2018","41,795.59","41,298.73","41,896.08","41,298.73","178.97K","2.19%"
"Jul 18, 2018","40,897.90","40,017.55","40,980.30","40,005.24","131.27K","2.42%"
"Jul 17, 2018","39,932.98","39,658.99","40,012.61","39,330.88","86.40K","0.67%"
"Jul 16, 2018","39,665.77","40,394.30","40,464.86","39,396.37","93.22K","-1.50%"
"Jul 13, 2018","40,271.00","39,856.68","40,388.55","39,851.61","87.18K","0.99%"
"Jul 12, 2018","39,875.12","39,570.24","39,916.44","39,236.73","59.18K","0.73%"
"Jul 11, 2018","39,586.76","39,467.64","40,061.59","39,209.40","72.46K","0.34%"
"Jul 10, 2018","39,452.81","39,261.36","39,569.79","38,561.31","116.62K","0.42%"
"Jul 09, 2018","39,288.48","40,340.52","40,372.90","39,067.15","75.60K","-2.47%"
"Jul 06, 2018","40,284.14","40,223.75","40,435.97","40,028.64","75.86K","0.11%"
"Jul 05, 2018","40,238.81","40,350.51","40,755.22","40,106.01","93.33K","-0.26%"
"Jul 04, 2018","40,345.68","41,548.23","41,548.23","40,274.72","74.72K","-2.93%"
"Jul 03, 2018","41,564.42","41,738.36","41,749.14","41,513.95","42.32K","-0.41%"
"Jul 02, 2018","41,734.05","41,948.67","42,136.52","41,609.90","43.09K","-0.42%"
"Jun 29, 2018","41,910.90","41,998.66","42,081.88","41,750.01","90.72K","-0.21%"
"Jun 28, 2018","41,997.85","41,710.35","42,077.66","41,539.29","97.00K","0.67%"
"Jun 27, 2018","41,717.99","41,281.45","41,817.21","41,281.45","104.01K","1.14%"
"Jun 26, 2018","41,246.09","41,006.75","41,526.57","40,990.44","91.30K","0.65%"
"Jun 25, 2018","40,978.23","41,642.41","41,843.09","40,900.74","107.45K","-1.58%"
"Jun 22, 2018","41,637.38","42,336.83","42,499.86","41,561.76","120.52K","-1.70%"
"Jun 21, 2018","42,358.61","42,881.74","42,894.63","42,296.07","153.72K","-1.50%"
"Jun 20, 2018","43,002.83","43,683.32","43,746.21","42,954.89","91.52K","-1.56%"
"Jun 19, 2018","43,682.84","43,699.37","43,825.11","43,511.65","63.74K","0.00%"
"Jun 14, 2018","43,680.68","43,535.38","43,731.13","43,459.47","72.20K","0.40%"
"Jun 13, 2018","43,507.50","43,217.20","43,589.72","43,217.20","72.36K","0.64%"
"Jun 12, 2018","43,228.90","43,893.15","43,968.33","43,143.00","86.90K","-1.60%"
"Jun 11, 2018","43,931.16","44,046.00","44,244.07","43,838.17","104.45K","-0.04%"
"Jun 07, 2018","43,948.11","44,178.85","44,332.86","43,894.34","169.88K","-0.44%"
"Jun 06, 2018","44,144.20","43,767.67","44,170.72","43,679.68","158.93K","1.01%"
"Jun 05, 2018","43,702.58","43,295.58","43,747.18","43,197.44","122.61K","1.00%"
"Jun 04, 2018","43,268.29","42,903.41","43,293.91","42,832.94","73.12K","0.83%"
"Jun 01, 2018","42,912.81","42,780.91","42,969.38","42,749.42","38.55K","0.15%"
"May 31, 2018","42,846.64","42,574.60","42,919.72","42,496.37","98.88K","0.71%"
"May 30, 2018","42,546.48","42,667.17","42,773.81","42,337.51","84.02K","-0.18%"
"May 29, 2018","42,622.74","42,146.76","42,667.69","42,112.75","67.53K","1.15%"
"May 28, 2018","42,138.57","42,051.93","42,543.27","41,872.34","85.25K","0.15%"
"May 25, 2018","42,074.09","42,549.15","42,570.77","42,000.47","63.10K","-1.09%"
"May 24, 2018","42,536.16","42,776.83","42,838.15","42,446.82","68.99K","-0.55%"
"May 23, 2018","42,772.25","42,794.31","43,060.68","42,676.51","76.69K","0.06%"
"May 22, 2018","42,744.82","41,657.60","42,770.41","41,657.60","92.27K","2.63%"
"May 21, 2018","41,648.65","41,721.39","41,912.68","41,591.44","52.32K","0.06%"
