Date,SMB,HML
09 November 2011,-0.81,-0.64
10 November 2011,0.05,0.57
11 November 2011,0.48,-0.22
14 November 2011,-0.47,-0.8
15 November 2011,0.88,-0.26
16 November 2011,-0.16,-0.18
17 November 2011,0.19,0.19
18 November 2011,0.06,0.91
21 November 2011,-0.5,-0.07
22 November 2011,-0.26,-0.56
23 November 2011,-0.7,-0.29
25 November 2011,-1,0.47
28 November 2011,1.63,-0.7
29 November 2011,-0.49,0.17
30 November 2011,1.05,1.09
01 December 2011,-0.5,-0.65
02 December 2011,0.44,0.64
05 December 2011,0.27,0.3
06 December 2011,-0.08,0.08
07 December 2011,-0.31,0.73
08 December 2011,-0.74,-0.99
09 December 2011,1.32,0.07
12 December 2011,0.04,-0.44
13 December 2011,-1.04,0.12
14 December 2011,-0.26,0.91
15 December 2011,0.66,0.12
16 December 2011,0.23,-0.1
19 December 2011,-0.43,-0.7
20 December 2011,0.81,0.3
21 December 2011,-0.03,1.31
22 December 2011,-0.21,0.69
23 December 2011,-0.58,-0.16
27 December 2011,0.47,-0.52
28 December 2011,-0.73,-0.04
29 December 2011,0.19,0.24
30 December 2011,-0.07,-0.14
03 January 2012,-0.16,0.87
04 January 2012,-0.66,0.09
05 January 2012,0.19,0.14
06 January 2012,0.01,-0.26
09 January 2012,0.22,-0.06
10 January 2012,0.4,0.4
11 January 2012,0.16,0.35
12 January 2012,0.3,0
13 January 2012,-0.26,-0.45
17 January 2012,-0.11,-0.72
18 January 2012,0.56,0.15
19 January 2012,-0.15,-0.22
20 January 2012,0.24,0.65
23 January 2012,-0.27,0.13
24 January 2012,0.84,-0.4
25 January 2012,0.11,-0.71
26 January 2012,0.25,-0.55
27 January 2012,0.85,-0.12
30 January 2012,-0.45,-0.3
31 January 2012,-0.05,0.02
01 February 2012,1.12,0.36
02 February 2012,0.41,-0.05
03 February 2012,0.59,0.33
06 February 2012,-0.26,-0.2
07 February 2012,-0.28,-0.09
08 February 2012,-0.13,0.42
09 February 2012,-0.35,-0.38
10 February 2012,-0.59,-0.1
13 February 2012,0.59,-0.06
14 February 2012,-0.41,-0.41
15 February 2012,-0.23,0.09
16 February 2012,0.69,0.28
17 February 2012,-0.3,0.5
21 February 2012,-0.66,0.37
22 February 2012,-0.38,-0.64
23 February 2012,0.91,-0.08
24 February 2012,-0.44,-0.65
27 February 2012,-0.21,0.36
28 February 2012,-0.63,-0.14
29 February 2012,-1.03,0.2
01 March 2012,-0.23,0.02
02 March 2012,-1.25,0
05 March 2012,0.45,0.26
06 March 2012,-0.33,-0.33
07 March 2012,0.31,0.22
08 March 2012,0.37,-0.3
09 March 2012,0.9,0.15
12 March 2012,-0.21,-0.03
13 March 2012,0.09,0.89
14 March 2012,-0.62,-0.22
15 March 2012,0.27,0.51
16 March 2012,-0.27,0.39
19 March 2012,0.52,-0.1
20 March 2012,-0.65,0.31
21 March 2012,0.3,-0.4
22 March 2012,-0.13,-0.43
23 March 2012,0.59,0.32
26 March 2012,0.47,-0.24
27 March 2012,-0.34,-0.32
28 March 2012,-0.02,0.42
29 March 2012,-0.02,-0.23
30 March 2012,-0.71,-0.04
02 April 2012,0.34,0.04
03 April 2012,-0.29,-0.32
04 April 2012,-0.58,0.04
05 April 2012,-0.08,-0.48
09 April 2012,-0.45,-0.04
10 April 2012,-0.41,0.09
11 April 2012,0.76,0.28
12 April 2012,0.07,0.31
13 April 2012,-0.15,-0.76
16 April 2012,0.14,0.85
17 April 2012,0.06,-0.24
18 April 2012,-0.48,-0.41
19 April 2012,-0.04,0.3
20 April 2012,0.54,-0.08
23 April 2012,-0.56,0.15
24 April 2012,0.22,0.99
25 April 2012,0.4,-1.05
26 April 2012,-0.04,-0.03
27 April 2012,0.71,-0.18
30 April 2012,-0.61,0.09
