Date,Price,Open,High,Low,Vol.,Change
"Sep 11, 2018",279.44,279.47,282,273.55,9.17M,-2.12%
"Sep 10, 2018",285.5,273.26,286.03,271,14.28M,8.46%
"Sep 07, 2018",263.24,260.1,268.35,252.25,22.49M,-6.30%
"Sep 06, 2018",280.95,284.8,291.17,278.88,7.48M,0.07%
"Sep 05, 2018",280.74,285.05,286.78,277.18,7.72M,-2.84%
"Sep 04, 2018",288.95,296.94,298.19,288,8.35M,-4.21%
"Aug 31, 2018",301.66,302,305.31,298.6,5.38M,-0.49%
"Aug 30, 2018",303.15,302.26,304.6,297.72,7.22M,-0.61%
"Aug 29, 2018",305.01,310.27,311.85,303.69,7.45M,-2.20%
"Aug 28, 2018",311.86,318.41,318.88,311.19,7.65M,-2.32%
"Aug 27, 2018",319.27,318,322.44,308.81,13.08M,-1.10%
"Aug 24, 2018",322.82,320.7,323.85,319.4,3.60M,0.85%
"Aug 23, 2018",320.1,319.14,327.32,318.1,5.15M,-0.48%
"Aug 22, 2018",321.64,320.87,323.88,314.67,5.95M,-0.08%
"Aug 21, 2018",321.9,310.61,324.79,309,13.17M,4.36%
"Aug 20, 2018",308.44,291.7,308.5,288.2,17.40M,0.96%
"Aug 17, 2018",305.5,323.5,326.77,303.53,18.96M,-8.93%
"Aug 16, 2018",335.45,339.91,342.28,333.82,6.06M,-0.96%
"Aug 15, 2018",338.69,341.91,344.49,332.14,9.10M,-2.57%
"Aug 14, 2018",347.64,358.45,359.2,347.1,6.99M,-2.46%
"Aug 13, 2018",356.41,361.13,363.19,349.02,10.46M,0.26%
"Aug 10, 2018",355.49,354,360,346,11.55M,0.86%
"Aug 09, 2018",352.45,365.55,367.01,345.73,17.18M,-4.83%
"Aug 08, 2018",370.34,369.09,382.64,367.12,24.57M,-2.43%
"Aug 07, 2018",379.57,343.84,387.46,339.15,30.88M,10.99%
"Aug 06, 2018",341.99,345.46,354.98,341.82,8.56M,-1.78%
"Aug 03, 2018",348.17,347.81,355,342.53,13.66M,-0.39%
"Aug 02, 2018",349.54,328.44,349.99,323.16,23.21M,16.19%
"Aug 01, 2018",300.84,297.99,303,293,10.13M,0.91%
"Jul 31, 2018",298.14,292.25,298.32,289.07,5.08M,2.75%
"Jul 30, 2018",290.17,295.9,296.1,286.13,6.81M,-2.36%
"Jul 27, 2018",297.18,307.25,307.69,295.34,5.70M,-3.09%
"Jul 26, 2018",306.65,304.85,310.7,303.64,4.63M,-0.68%
"Jul 25, 2018",308.74,296.74,309.62,294.5,7.09M,3.80%
"Jul 24, 2018",297.43,304.42,307.72,292.55,9.59M,-1.90%
"Jul 23, 2018",303.2,301.84,305.5,292.86,10.99M,-3.31%
"Jul 20, 2018",313.58,321.23,323.24,311.71,5.17M,-2.08%
"Jul 19, 2018",320.23,316.33,323.54,314.01,5.92M,-1.12%
"Jul 18, 2018",323.85,325,325.5,316.25,5.62M,0.36%
"Jul 17, 2018",322.69,308.81,324.74,308.5,7.00M,4.06%
"Jul 16, 2018",310.1,311.71,315.16,306.25,7.82M,-2.75%
"Jul 13, 2018",318.87,315.58,319.58,309.25,5.88M,0.68%
"Jul 12, 2018",316.71,321.43,323.23,312.77,5.72M,-0.71%
"Jul 11, 2018",318.96,315.8,321.94,315.07,4.88M,-1.09%
"Jul 10, 2018",322.47,324.56,327.68,319.2,9.47M,1.24%
"Jul 09, 2018",318.51,311.99,318.52,308,7.60M,3.11%
"Jul 06, 2018",308.9,304.95,312.07,302,8.87M,-0.08%
"Jul 05, 2018",309.16,313.76,314.39,296.22,17.48M,-0.55%
"Jul 03, 2018",310.86,331.75,332.49,309.69,12.28M,-7.23%
"Jul 02, 2018",335.07,360.07,364.78,329.85,18.76M,-2.30%
"Jun 29, 2018",342.95,353.33,353.86,342.41,6.49M,-1.99%
"Jun 28, 2018",349.93,348.66,357.02,346.11,8.40M,1.58%
"Jun 27, 2018",344.5,345,350.79,339.5,8.33M,0.73%
"Jun 26, 2018",342,336.05,343.55,325.8,7.45M,2.70%
"Jun 25, 2018",333.01,330.12,338.47,327.5,6.93M,-0.19%
"Jun 22, 2018",333.63,351.54,352.25,332,10.27M,-3.99%
"Jun 21, 2018",347.51,362,366.21,346.27,7.97M,-4.06%
"Jun 20, 2018",362.22,358.04,364.38,352,8.38M,2.74%
"Jun 19, 2018",352.55,365.16,370,346.25,12.76M,-4.93%
"Jun 18, 2018",370.83,355.4,373.73,354.5,12.07M,3.53%
"Jun 15, 2018",358.17,353.84,364.67,351.25,10.85M,0.13%
"Jun 14, 2018",357.72,347.63,358.75,346.6,10.98M,3.75%
"Jun 13, 2018",344.78,346.71,347.2,339.8,9.47M,0.59%
"Jun 12, 2018",342.77,344.7,354.97,338,22.35M,3.21%
"Jun 11, 2018",332.1,322.51,334.66,322.5,13.18M,4.55%
"Jun 08, 2018",317.66,319,324.48,317.15,8.21M,0.50%
"Jun 07, 2018",316.09,316.15,330,313.58,14.35M,-1.07%
"Jun 06, 2018",319.5,300.5,322.17,297.48,18.77M,9.74%
"Jun 05, 2018",291.13,297.7,297.8,286.74,6.00M,-1.89%
"Jun 04, 2018",296.74,294.34,299,293.55,4.80M,1.69%
"Jun 01, 2018",291.82,285.86,291.95,283.84,5.42M,2.49%
"May 31, 2018",284.73,287.21,290.37,282.93,5.92M,-2.40%
"May 30, 2018",291.72,283.29,295,281.6,7.49M,2.81%
"May 29, 2018",283.76,278.51,286.5,276.15,5.67M,1.76%
"May 25, 2018",278.85,277.63,279.64,275.61,3.88M,0.36%
"May 24, 2018",277.85,278.4,281.11,274.89,4.18M,-0.44%
"May 23, 2018",279.07,277.76,279.91,274,5.99M,1.48%
"May 22, 2018",275.01,287.76,288,273.42,8.95M,-3.33%
"May 21, 2018",284.49,281.33,291.49,281.3,9.18M,2.77%
"May 18, 2018",276.82,284.65,284.65,274,7.25M,-2.71%
"May 17, 2018",284.54,285.9,289.19,283.97,4.42M,-0.68%
"May 16, 2018",286.48,283.83,288.81,281.56,5.67M,0.81%
"May 15, 2018",284.18,285.01,286.96,280.5,9.52M,-2.67%
"May 14, 2018",291.97,303.32,304.94,291.62,7.29M,-3.02%
"May 11, 2018",301.06,307.7,308.88,299.08,4.68M,-1.30%
"May 10, 2018",305.02,307.5,312.99,304.11,5.65M,-0.60%
"May 09, 2018",306.85,300.41,307.01,300.05,5.73M,1.62%
"May 08, 2018",301.97,300.8,307.75,299,5.93M,-0.26%
"May 07, 2018",302.77,297.5,305.96,295.17,8.68M,2.95%
"May 04, 2018",294.09,283,296.86,279.52,8.57M,3.39%
"May 03, 2018",284.45,278.79,288.04,275.23,17.35M,-5.55%
"May 02, 2018",301.15,298.57,306.85,297.78,8.97M,0.41%
"May 01, 2018",299.92,293.51,300.82,293.22,4.63M,2.05%
"Apr 30, 2018",293.9,293.61,298.73,292.5,4.23M,-0.06%
"Apr 27, 2018",294.07,285.37,294.47,283.83,4.36M,3.01%
"Apr 26, 2018",285.48,278.75,285.79,276.5,4.36M,1.71%
"Apr 25, 2018",280.69,283.5,285.16,277.25,4.01M,-0.98%
"Apr 24, 2018",283.46,285,287.09,278.46,5.69M,0.03%
"Apr 23, 2018",283.37,291.29,291.62,282.33,4.89M,-2.37%
"Apr 20, 2018",290.24,295.17,299.98,289.75,5.63M,-3.28%
"Apr 19, 2018",300.08,291.08,301.01,288.55,6.09M,2.29%
"Apr 18, 2018",293.35,291.08,300.24,288.16,6.56M,1.97%
"Apr 17, 2018",287.69,288.87,292.17,282.51,7.00M,-1.21%
"Apr 16, 2018",291.21,299,299.66,289.01,6.34M,-3.04%
"Apr 13, 2018",300.34,303.6,303.95,295.98,7.33M,2.13%
"Apr 12, 2018",294.08,302.32,303.95,293.68,7.61M,-2.28%
"Apr 11, 2018",300.93,300.74,308.98,299.66,7.48M,-1.24%
"Apr 10, 2018",304.7,298.97,307.1,293.68,11.02M,5.19%
"Apr 09, 2018",289.66,300.37,309.5,289.21,10.25M,-3.22%
"Apr 06, 2018",299.3,301,309.28,295.5,13.52M,-2.10%
"Apr 05, 2018",305.72,289.34,306.26,288.2,19.12M,6.54%
"Apr 04, 2018",286.94,252.78,288.37,252,19.90M,7.26%
"Apr 03, 2018",267.53,269.82,273.35,254.49,18.84M,5.96%
"Apr 02, 2018",252.48,256.26,260.33,244.59,16.11M,-5.13%
"Mar 29, 2018",266.13,256.49,270.96,248.21,15.17M,3.24%
"Mar 28, 2018",257.78,264.58,268.68,252.1,21.00M,-7.67%
"Mar 27, 2018",279.18,304,304.27,277.18,13.87M,-8.22%
"Mar 26, 2018",304.18,307.34,307.59,291.36,8.38M,0.88%
"Mar 23, 2018",301.54,311.25,311.61,300.45,6.65M,-2.45%
"Mar 22, 2018",309.1,313.89,318.82,308.18,4.94M,-2.35%
"Mar 21, 2018",316.53,310.25,322.44,310.19,5.96M,1.93%
"Mar 20, 2018",310.55,314.87,316.25,308.76,4.76M,-0.96%
"Mar 19, 2018",313.56,316.5,320.75,309.67,7.48M,-2.42%
"Mar 16, 2018",321.35,325.96,327.4,319.07,6.12M,-1.31%
"Mar 15, 2018",325.6,329.38,332.85,321.1,6.56M,-0.32%
"Mar 14, 2018",326.63,336.76,339.81,323.93,7.97M,-4.45%
"Mar 13, 2018",341.84,344.92,345.12,336.26,5.97M,-1.06%
"Mar 12, 2018",345.51,328.61,347.21,326.5,8.26M,5.61%
"Mar 09, 2018",327.17,324.1,328.49,322.37,5.51M,-0.59%
"Mar 08, 2018",329.1,332.86,333.3,326.27,3.57M,-0.96%
"Mar 07, 2018",332.3,325.44,332.5,321.74,5.01M,1.25%
"Mar 06, 2018",328.2,333.75,336.37,327.03,4.29M,-1.54%
"Mar 05, 2018",333.35,332.39,337.75,329.29,3.82M,-0.53%
"Mar 02, 2018",335.12,326.98,335.22,322.97,5.09M,1.27%
"Mar 01, 2018",330.93,345.01,348.67,330.07,6.89M,-3.54%
"Feb 28, 2018",343.06,352.57,355.24,342.22,6.07M,-2.26%
"Feb 27, 2018",350.99,356.25,359.99,350.01,4.80M,-1.80%
"Feb 26, 2018",357.42,353.5,359,352.36,4.34M,1.53%
"Feb 23, 2018",352.05,347.83,354.99,347.1,5.82M,1.70%
"Feb 22, 2018",346.17,335.53,347.44,334.75,6.97M,3.86%
"Feb 21, 2018",333.3,336.03,339.69,333.17,3.22M,-0.44%
"Feb 20, 2018",334.77,334.47,340.84,331.5,4.01M,-0.21%
"Feb 16, 2018",335.49,332.5,343.12,331.64,5.64M,0.43%
"Feb 15, 2018",334.06,324.5,334.12,322.4,5.91M,3.65%
"Feb 14, 2018",322.31,320.84,326.17,318.52,3.95M,-0.42%
"Feb 13, 2018",323.66,315.02,324.19,312.51,4.56M,2.51%
"Feb 12, 2018",315.73,316.13,318.08,306.25,6.23M,1.71%
"Feb 09, 2018",310.42,319.93,320.98,294.76,12.93M,-1.53%
"Feb 08, 2018",315.23,343.31,348.62,314.6,10.31M,-8.63%
"Feb 07, 2018",345,338.99,346,335.66,6.97M,3.30%
"Feb 06, 2018",333.97,325.21,336.22,323.5,5.09M,0.25%
"Feb 05, 2018",333.13,337.97,344.47,333,4.46M,-3.09%
"Feb 02, 2018",343.75,348.44,351.95,340.51,3.70M,-1.57%
"Feb 01, 2018",349.25,351,359.66,348.63,4.20M,-1.43%
"Jan 31, 2018",354.31,347.51,356.19,345.19,6.21M,2.46%
"Jan 30, 2018",345.82,345.14,348.27,342.17,4.72M,-1.06%
"Jan 29, 2018",349.53,339.85,350.85,338.28,4.75M,1.95%
"Jan 26, 2018",342.85,341.5,344,335.71,4.54M,1.54%
"Jan 25, 2018",337.64,348.27,349.2,336.4,6.74M,-2.39%
"Jan 24, 2018",345.89,354.58,354.75,343.52,5.29M,-1.96%
"Jan 23, 2018",352.79,360,360.5,351,5.47M,0.35%
"Jan 22, 2018",351.56,349.4,357.83,349.2,6.21M,0.44%
"Jan 19, 2018",350.02,345,350.59,342.6,4.89M,1.58%
"Jan 18, 2018",344.57,345.67,352.3,343.74,5.69M,-0.75%
"Jan 17, 2018",347.16,340.47,349,339.75,7.10M,2.09%
"Jan 16, 2018",340.06,337.54,345,334.8,6.47M,1.14%
"Jan 12, 2018",336.22,338.63,340.41,333.67,4.83M,-0.51%
"Jan 11, 2018",337.95,335.24,344.81,333.26,6.65M,0.94%
"Jan 10, 2018",334.8,332.2,337,330,4.31M,0.33%
"Jan 09, 2018",333.69,335.16,338.8,327.4,7.15M,-0.81%
"Jan 08, 2018",336.41,316,337.02,315.5,9.86M,6.26%
"Jan 05, 2018",316.58,316.62,317.24,312,4.59M,0.62%
"Jan 04, 2018",314.62,312.87,318.55,305.68,9.95M,-0.83%
"Jan 03, 2018",317.25,321,325.25,315.55,4.52M,-1.02%
"Jan 02, 2018",320.53,312,322.11,311,4.35M,2.95%
"Dec 29, 2017",311.35,316.18,316.41,310,3.78M,-1.27%
"Dec 28, 2017",315.36,311.75,315.82,309.54,4.32M,1.19%
"Dec 27, 2017",311.64,316,317.68,310.75,4.71M,-1.78%
"Dec 26, 2017",317.29,323.83,323.94,316.58,4.38M,-2.43%
"Dec 22, 2017",325.2,329.51,330.92,324.82,4.22M,-1.95%
"Dec 21, 2017",331.66,329.59,333.74,327.21,4.39M,0.81%
"Dec 20, 2017",328.98,332.69,333.1,325.04,5.95M,-0.64%
"Dec 19, 2017",331.1,340.26,341.49,330.3,6.82M,-2.29%
"Dec 18, 2017",338.87,344.9,346.73,337.58,5.48M,-1.33%
"Dec 15, 2017",343.45,342.04,343.9,335.76,6.93M,1.65%
"Dec 14, 2017",337.89,341.01,347.44,336.9,5.80M,-0.34%
"Dec 13, 2017",339.03,340.93,344.22,336.5,6.22M,-0.59%
"Dec 12, 2017",341.03,330.45,341.44,330.03,8.73M,3.68%
"Dec 11, 2017",328.91,314.63,329.01,313.75,7.94M,4.37%
"Dec 08, 2017",315.13,314.6,316.98,311.26,3.47M,1.25%
"Dec 07, 2017",311.24,312,318.63,311.05,4.78M,-0.64%
"Dec 06, 2017",313.26,300.1,313.39,300,7.20M,3.15%
"Dec 05, 2017",303.7,302,308,301,4.65M,-0.49%
"Dec 04, 2017",305.2,306.5,308.26,300.61,5.84M,-0.43%
"Dec 01, 2017",306.53,305.44,310.32,305.05,4.29M,-0.75%
"Nov 30, 2017",308.85,308.56,310.7,304.54,4.35M,0.43%
"Nov 29, 2017",307.54,317.3,318,301.23,8.77M,-3.15%
"Nov 28, 2017",317.55,316.36,320,313.92,4.95M,0.23%
"Nov 27, 2017",316.81,313.25,317.34,309.51,4.56M,0.40%
"Nov 24, 2017",315.55,313.79,316.41,311,3.24M,0.94%
"Nov 22, 2017",312.6,316.77,317.42,311.84,4.92M,-1.64%
"Nov 21, 2017",317.81,310.86,318.23,308.71,7.26M,2.94%
"Nov 20, 2017",308.74,313.79,315.5,304.75,8.25M,-2.00%
"Nov 17, 2017",315.05,325.67,326.67,313.15,13.74M,0.82%
"Nov 16, 2017",312.5,313.99,318.14,311.3,5.82M,0.39%
"Nov 15, 2017",311.3,306.01,312.49,301.5,5.98M,0.84%
"Nov 14, 2017",308.7,315,316.35,306.9,5.68M,-2.12%
"Nov 13, 2017",315.4,300.13,316.8,299.11,7.58M,4.10%
"Nov 10, 2017",302.99,302.5,308.36,301.85,4.63M,0.00%
"Nov 09, 2017",302.99,302.5,304.46,296.3,5.45M,-0.46%
"Nov 08, 2017",304.39,305.5,306.89,301.3,4.73M,-0.54%
"Nov 07, 2017",306.05,301.02,306.5,300.03,5.29M,1.08%
"Nov 06, 2017",302.78,307,307.5,299.01,6.49M,-1.08%
"Nov 03, 2017",306.09,299.5,306.25,295.13,8.89M,2.28%
"Nov 02, 2017",299.26,300.13,308.69,292.63,19.79M,-6.80%
"Nov 01, 2017",321.08,332.25,332.61,320.26,8.46M,-3.15%
"Oct 31, 2017",331.53,320.23,331.95,320.18,5.67M,3.58%
"Oct 30, 2017",320.08,319.18,323.78,317.25,4.25M,-0.25%
"Oct 27, 2017",320.87,319.75,324.59,316.66,6.98M,-1.62%
"Oct 26, 2017",326.17,327.78,330.23,323.2,5.02M,0.10%
"Oct 25, 2017",325.84,336.7,337.5,323.56,8.59M,-3.41%
"Oct 24, 2017",337.34,338.8,342.8,336.16,4.49M,0.09%
"Oct 23, 2017",337.02,349.88,349.95,336.25,5.75M,-2.34%
"Oct 20, 2017",345.1,352.69,354.55,344.34,4.93M,-1.91%
"Oct 19, 2017",351.81,355.56,357.15,348.2,5.06M,-2.18%
"Oct 18, 2017",359.65,355.97,363,354.13,4.94M,1.10%
"Oct 17, 2017",355.75,350.91,356.22,350.07,3.29M,1.47%
"Oct 16, 2017",350.6,353.76,354.48,347.16,5.38M,-1.40%
"Oct 13, 2017",355.57,356.98,358.49,353.68,3.54M,-0.03%
"Oct 12, 2017",355.68,352.95,359.78,352.64,4.09M,0.30%
"Oct 11, 2017",354.6,353.89,357.6,351.15,4.50M,-0.28%
"Oct 10, 2017",355.59,346.8,355.63,345.53,6.98M,3.69%
"Oct 09, 2017",342.94,349.65,351.75,342.67,7.49M,-3.91%
